,Year,Week,Mt. Baw Baw,Mt. Stirling,Mt. Hotham,Falls Creek,Mt. Buller,Selwyn,Thredbo,Perisher,Charlotte Pass
0,2014,1,555.0,60.0,3483.0,2790.0,8296.0,1041.0,5535.0,7370.0,408.0
1,2014,2,804.0,42.0,1253.0,1425.0,1987.0,383.0,2090.0,2751.0,151.0
2,2014,3,993.0,30.0,2992.0,2101.0,2413.0,597.0,3216.0,4255.0,230.0
3,2014,4,2976.0,165.0,9680.0,9544.0,18831.0,2877.0,15497.0,20265.0,1134.0
4,2014,5,11112.0,645.0,29628.0,26211.0,49217.0,8588.0,46546.0,61339.0,3403.0
5,2014,6,13381.0,1316.0,36665.0,33392.0,59693.0,10682.0,58668.0,76855.0,4305.0
6,2014,7,8832.0,684.0,26465.0,28149.0,45788.0,8180.0,44109.0,57593.0,3236.0
7,2014,8,9347.0,1250.0,21679.0,24565.0,41720.0,7267.0,39654.0,52426.0,2901.0
8,2014,9,10071.0,1280.0,31019.0,28981.0,48984.0,8708.0,46875.0,62654.0,3391.0
9,2014,10,11071.0,1653.0,30360.0,33125.0,47315.0,9133.0,48777.0,64928.0,3549.0
10,2014,11,10079.0,902.0,35923.0,36486.0,43314.0,8968.0,49003.0,64834.0,3608.0
11,2014,12,7635.0,847.0,32657.0,34468.0,41063.0,8404.0,44164.0,59121.0,3258.0
12,2014,13,4681.0,522.0,28855.0,30104.0,41063.0,6975.0,38470.0,50737.0,2837.0
13,2014,14,1904.0,267.0,18708.0,23864.0,26222.0,4628.0,25734.0,33833.0,1898.0
14,2014,15,0.0,66.0,11117.0,15869.0,11881.0,2566.0,13890.0,18381.0,995.0
15,2015,1,3185.0,39.0,4997.0,4799.0,15612.0,2238.0,12039.0,15906.0,892.0
16,2015,2,2058.0,63.0,1797.0,3293.0,6592.0,1001.0,5540.0,7363.0,405.0
17,2015,3,1745.0,51.0,3605.0,5965.0,6648.0,1331.0,7069.0,9360.0,501.0
18,2015,4,2751.0,27.0,13197.0,11758.0,18766.0,3211.0,17634.0,23296.0,1303.0
19,2015,5,6748.0,69.0,22318.0,20779.0,38879.0,6658.0,35918.0,47607.0,2645.0
20,2015,6,8269.0,240.0,27894.0,24064.0,45629.0,8112.0,43234.0,57282.0,3211.0
21,2015,7,8219.0,714.0,22620.0,27566.0,38873.0,7373.0,40967.0,54202.0,2996.0
22,2015,8,8600.0,558.0,17562.0,25955.0,36714.0,6601.0,36200.0,48170.0,2661.0
23,2015,9,8932.0,1218.0,27850.0,31872.0,38171.0,7983.0,43268.0,57548.0,3148.0
24,2015,10,10429.0,1371.0,31159.0,35417.0,41782.0,9023.0,48525.0,64346.0,3473.0
25,2015,11,10927.0,1146.0,35122.0,37063.0,44060.0,9492.0,51900.0,68527.0,3719.0
26,2015,12,9027.0,744.0,30754.0,36903.0,38823.0,8436.0,46015.0,60788.0,3358.0
27,2015,13,6236.0,618.0,25367.0,33126.0,38042.0,7256.0,39850.0,52337.0,2909.0
28,2015,14,4387.0,429.0,30754.0,28099.0,23919.0,6011.0,33284.0,43826.0,2403.0
29,2015,15,2247.0,249.0,12005.0,18548.0,21892.0,3722.0,20568.0,27009.0,1492.0
30,2016,1,1154.0,39.0,4590.0,3840.0,8368.0,1329.0,7167.0,9419.0,531.0
31,2016,2,1298.0,36.0,1860.0,2176.0,5298.0,764.0,4083.0,5380.0,301.0
32,2016,3,2306.0,186.0,8368.0,10297.0,17606.0,2903.0,15501.0,20567.0,1096.0
33,2016,4,8796.0,480.0,17433.0,23077.0,37586.0,6868.0,36917.0,49193.0,2705.0
34,2016,5,7976.0,711.0,21302.0,33309.0,56664.0,9151.0,48170.0,64386.0,3570.0
35,2016,6,6614.0,840.0,25173.0,38818.0,44445.0,8336.0,45940.0,61295.0,3316.0
36,2016,7,5267.0,694.0,20774.0,30873.0,37928.0,6817.0,37172.0,48984.0,2689.0
37,2016,8,6394.0,1326.0,19557.0,36692.0,39125.0,7706.0,41911.0,55233.0,3038.0
38,2016,9,6676.0,1122.0,27232.0,40090.0,46055.0,8763.0,47536.0,63067.0,3384.0
39,2016,10,5593.0,1149.0,28044.0,43213.0,44706.0,8848.0,47996.0,62748.0,3549.0
40,2016,11,3979.0,708.0,31774.0,43213.0,38065.0,8235.0,43729.0,57827.0,3259.0
41,2016,12,3909.0,735.0,28211.0,43275.0,34449.0,7678.0,41768.0,54481.0,2951.0
42,2016,13,1373.0,198.0,20295.0,33724.0,21929.0,5307.0,28580.0,37561.0,2070.0
43,2016,14,0.0,102.0,14224.0,24144.0,13075.0,3453.0,18938.0,24737.0,1385.0
44,2016,15,0.0,87.0,10134.0,19696.0,7411.0,2599.0,13868.0,18080.0,979.0
45,2017,1,3569.0,96.0,6288.0,5663.0,18142.0,2569.0,14174.0,18739.0,1030.0
46,2017,2,798.0,33.0,2644.0,3577.0,9023.0,1236.0,6636.0,8792.0,478.0
47,2017,3,846.0,72.0,5756.0,7935.0,13836.0,2180.0,11543.0,15236.0,842.0
48,2017,4,3486.0,132.0,17281.0,16182.0,26972.0,4933.0,26374.0,34802.0,1923.0
49,2017,5,5981.0,162.0,29573.0,30745.0,50070.0,8953.0,49289.0,64376.0,3523.0
50,2017,6,9132.0,387.0,33467.0,38180.0,57787.0,10860.0,58279.0,76620.0,4189.0
51,2017,7,7286.0,962.0,23812.0,30541.0,40050.0,7768.0,42457.0,56369.0,3031.0
52,2017,8,5799.0,702.0,25596.0,29332.0,37535.0,7398.0,40744.0,53570.0,2928.0
53,2017,9,5331.0,1176.0,29214.0,34784.0,39778.0,8341.0,45216.0,60063.0,3290.0
54,2017,10,6311.0,1317.0,33652.0,39838.0,48862.0,10099.0,55420.0,72515.0,4046.0
55,2017,11,5884.0,1452.0,35159.0,41643.0,45833.0,10008.0,53536.0,70718.0,3873.0
56,2017,12,4921.0,936.0,32732.0,38487.0,44047.0,9105.0,49658.0,65364.0,3634.0
57,2017,13,4086.0,897.0,26326.0,34745.0,32214.0,7230.0,39634.0,52565.0,2853.0
58,2017,14,5565.0,1023.0,21960.0,28865.0,32542.0,6867.0,37173.0,48963.0,2669.0
59,2017,15,3409.0,408.0,14990.0,21846.0,24402.0,4847.0,26630.0,34698.0,1941.0
60,2018,1,2753.0,192.0,6271.0,4735.0,13279.0,2060.0,11210.0,14866.0,825.0
61,2018,2,2102.0,180.0,3489.0,3408.0,11039.0,1591.0,8547.0,11276.0,630.0
62,2018,3,5768.0,339.0,6911.0,8450.0,19293.0,3095.0,17226.0,22795.0,1264.0
63,2018,4,7058.0,474.0,17524.0,16200.0,27761.0,5357.0,28601.0,37741.0,2062.0
64,2018,5,11141.0,810.0,31435.0,32502.0,54337.0,10213.0,54351.0,71310.0,3902.0
65,2018,6,18031.0,1086.0,37737.0,40750.0,66326.0,12863.0,70634.0,93226.0,5033.0
66,2018,7,8803.0,1269.0,25157.0,31768.0,46230.0,8428.0,46287.0,61632.0,3344.0
67,2018,8,7966.0,1128.0,24150.0,29814.0,39057.0,7857.0,41879.0,55592.0,3031.0
68,2018,9,8950.0,1719.0,30515.0,33734.0,45601.0,9032.0,49315.0,65256.0,3522.0
69,2018,10,7621.0,1860.0,33527.0,41774.0,43886.0,9444.0,52085.0,69540.0,3849.0
70,2018,11,6837.0,1452.0,38115.0,40149.0,46782.0,9592.0,53194.0,70211.0,3867.0
71,2018,12,10011.0,1374.0,35284.0,38075.0,46140.0,9764.0,53232.0,70681.0,3839.0
72,2018,13,6751.0,913.0,28187.0,32603.0,34877.0,7557.0,41257.0,54342.0,2943.0
73,2018,14,5793.0,498.0,21947.0,28410.0,31144.0,6454.0,34676.0,46265.0,2542.0
74,2018,15,4064.0,258.0,15320.0,19085.0,20104.0,4262.0,23050.0,30146.0,1688.0
75,2019,1,6393.0,237.0,5948.0,8702.0,22375.0,3472.0,18741.0,24730.0,1385.0
76,2019,2,4311.0,81.0,3019.0,4257.0,10904.0,1831.0,9845.0,12913.0,700.0
77,2019,3,5341.0,126.0,5820.0,7581.0,13018.0,2534.0,13374.0,17700.0,992.0
78,2019,4,6645.0,63.0,13150.0,14826.0,29400.0,4763.0,25851.0,34236.0,1904.0
79,2019,5,10595.0,123.0,26572.0,31088.0,46986.0,9019.0,48275.0,64459.0,3584.0
80,2019,6,9056.0,318.0,36382.0,37988.0,49957.0,9962.0,55168.0,72800.0,3998.0
81,2019,7,9515.0,675.0,23978.0,33409.0,42583.0,8267.0,45493.0,60123.0,3377.0
82,2019,8,10134.0,858.0,24998.0,31157.0,41415.0,8107.0,45050.0,58944.0,3318.0
83,2019,9,10039.0,924.0,31360.0,34471.0,40425.0,8547.0,46665.0,61440.0,3449.0
84,2019,10,4004.0,909.0,29531.0,39514.0,41156.0,8538.0,45330.0,60344.0,3258.0
85,2019,11,12128.0,1455.0,39955.0,40569.0,48415.0,10785.0,59101.0,77783.0,4333.0
86,2019,12,10255.0,1542.0,37905.0,38230.0,44315.0,10147.0,53915.0,71288.0,3980.0
87,2019,13,8502.0,1083.0,33186.0,35090.0,34454.0,8432.0,45841.0,59693.0,3238.0
88,2019,14,6878.0,522.0,27192.0,30655.0,30775.0,7077.0,37957.0,49945.0,2733.0
89,2019,15,6089.0,363.0,20169.0,22832.0,22540.0,5189.0,28383.0,37747.0,2018.0
90,2020,1,1074.0,126.0,2016.0,2905.0,2665.0,430.0,2281.0,2987.0,161.0
91,2020,2,544.0,27.0,1346.0,1931.0,2843.0,311.0,1666.0,2205.0,122.0
92,2020,3,603.0,24.0,1416.0,1672.0,3537.0,334.0,1787.0,2373.0,133.0
93,2020,4,2168.0,93.0,4172.0,4208.0,9988.0,969.0,5251.0,6968.0,379.0
94,2020,5,4055.0,171.0,9325.0,7199.0,3537.0,1185.0,6327.0,8403.0,457.0
95,2020,6,2945.0,438.0,15316.0,8741.0,15619.0,1978.0,10795.0,14350.0,765.0
96,2020,7,1149.0,108.0,8953.0,6964.0,6805.0,1087.0,5849.0,7748.0,422.0
97,2020,8,941.0,127.0,4401.0,3407.0,7366.0,720.0,3997.0,5264.0,286.0
98,2020,9,834.0,98.0,3476.0,4837.0,7312.0,733.0,4059.0,5356.0,292.0
